QMUXTXRX.
Cur Time : 87.091000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	STRING
12.797606	SHIMQMI 00 01 07 a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.797651	SHIMQMI 02 01 07 a2 00 07 00 02 04 00 00 00 00 00
12.799443	SHIMQMI 00 01 06 af 00 07 00 01 04 00 00 00 00 00
12.799500	SHIMQMI 02 01 06 af 00 07 00 02 04 00 00 00 00 00
12.806586	SHIMQMI 00 01 06 b0 00 00 00
12.806619	SHIMQMI 02 01 06 b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.806840	SHIMQMI 00 01 07 af 00 07 00 01 04 00 00 00 00 00
12.806880	SHIMQMI 02 01 07 af 00 07 00 02 04 00 00 00 00 00
12.807097	SHIMQMI 00 01 07 b0 00 00 00
12.807121	SHIMQMI 02 01 07 b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.807723	SHIMQMI 00 04 05 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.807758	SHIMQMI 02 04 05 2b 00 07 00 02 04 00 00 00 00 00
12.807969	SHIMQMI 00 04 05 2a 00 04 00 01 01 00 04
12.807988	SHIMQMI 02 04 05 2a 00 07 00 02 04 00 00 00 00 00
12.808173	SHIMQMI 00 04 05 2f 00 08 00 10 01 00 01 11 01 00 db
12.808198	SHIMQMI 02 04 05 2f 00 07 00 02 04 00 00 00 00 00
12.808477	SHIMQMI 00 04 05 2d 00 07 00 01 04 00 ff 00 00 00
12.808498	SHIMQMI 02 04 05 2d 00 07 00 02 04 00 00 00 00 00
12.808684	SHIMQMI 00 04 05 01 00 04 00 10 01 00 01
12.808704	SHIMQMI 02 04 05 01 00 07 00 02 04 00 00 00 00 00
12.809106	SHIMQMI 00 04 06 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.809133	SHIMQMI 02 04 06 2b 00 07 00 02 04 00 00 00 00 00
12.809614	SHIMQMI 00 04 06 2a 00 04 00 01 01 00 06
12.809637	SHIMQMI 02 04 06 2a 00 07 00 02 04 00 00 00 00 00
12.809900	SHIMQMI 00 04 06 2f 00 08 00 10 01 00 01 11 01 00 db
12.809924	SHIMQMI 02 04 06 2f 00 07 00 02 04 00 00 00 00 00
12.810113	SHIMQMI 00 04 06 2d 00 07 00 01 04 00 ff 00 00 00
12.810132	SHIMQMI 02 04 06 2d 00 07 00 02 04 00 00 00 00 00
12.810399	SHIMQMI 00 04 06 01 00 04 00 10 01 00 01
12.810419	SHIMQMI 02 04 06 01 00 07 00 02 04 00 00 00 00 00
12.811052	SHIMQMI 00 01 08 a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.811503	SHIMQMI 02 01 08 a2 00 07 00 02 04 00 00 00 00 00
12.811968	SHIMQMI 00 01 09 a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.812011	SHIMQMI 02 01 09 a2 00 07 00 02 04 00 00 00 00 00
12.812232	SHIMQMI 00 01 08 af 00 07 00 01 04 00 00 00 00 00
12.812278	SHIMQMI 02 01 08 af 00 07 00 02 04 00 00 00 00 00
12.812591	SHIMQMI 00 01 08 b0 00 00 00
12.812624	SHIMQMI 02 01 08 b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.812828	SHIMQMI 00 01 09 af 00 07 00 01 04 00 00 00 00 00
12.812868	SHIMQMI 02 01 09 af 00 07 00 02 04 00 00 00 00 00
12.813421	SHIMQMI 00 01 09 b0 00 00 00
12.813446	SHIMQMI 02 01 09 b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.814976	SHIMQMI 00 04 07 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.815012	SHIMQMI 02 04 07 2b 00 07 00 02 04 00 00 00 00 00
12.815288	SHIMQMI 00 04 07 2a 00 04 00 01 01 00 04
12.815309	SHIMQMI 02 04 07 2a 00 07 00 02 04 00 00 00 00 00
12.818109	SHIMQMI 00 04 07 2f 00 08 00 10 01 00 01 11 01 00 db
12.818138	SHIMQMI 02 04 07 2f 00 07 00 02 04 00 00 00 00 00
12.818338	SHIMQMI 00 04 07 2d 00 07 00 01 04 00 ff 00 00 00
12.818359	SHIMQMI 02 04 07 2d 00 07 00 02 04 00 00 00 00 00
12.818543	SHIMQMI 00 04 07 01 00 04 00 10 01 00 01
12.818563	SHIMQMI 02 04 07 01 00 07 00 02 04 00 00 00 00 00
12.819580	SHIMQMI 00 04 08 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.819615	SHIMQMI 02 04 08 2b 00 07 00 02 04 00 00 00 00 00
12.819879	SHIMQMI 00 04 08 2a 00 04 00 01 01 00 06
12.819900	SHIMQMI 02 04 08 2a 00 07 00 02 04 00 00 00 00 00
12.820190	SHIMQMI 00 04 08 2f 00 08 00 10 01 00 01 11 01 00 db
12.820225	SHIMQMI 02 04 08 2f 00 07 00 02 04 00 00 00 00 00
12.820406	SHIMQMI 00 04 08 2d 00 07 00 01 04 00 ff 00 00 00
12.820426	SHIMQMI 02 04 08 2d 00 07 00 02 04 00 00 00 00 00
12.820880	SHIMQMI 00 04 08 01 00 04 00 10 01 00 01
12.820899	SHIMQMI 02 04 08 01 00 07 00 02 04 00 00 00 00 00
12.821400	SHIMQMI 00 01 0a a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.821839	SHIMQMI 02 01 0a a2 00 07 00 02 04 00 00 00 00 00
12.822278	SHIMQMI 00 01 0b a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.822320	SHIMQMI 02 01 0b a2 00 07 00 02 04 00 00 00 00 00
12.822541	SHIMQMI 00 01 0a af 00 07 00 01 04 00 00 00 00 00
12.822583	SHIMQMI 02 01 0a af 00 07 00 02 04 00 00 00 00 00
12.822789	SHIMQMI 00 01 0a b0 00 00 00
12.822815	SHIMQMI 02 01 0a b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.823696	SHIMQMI 00 01 0b af 00 07 00 01 04 00 00 00 00 00
12.823736	SHIMQMI 02 01 0b af 00 07 00 02 04 00 00 00 00 00
12.823952	SHIMQMI 00 01 0b b0 00 00 00
12.823976	SHIMQMI 02 01 0b b0 00 0e 00 02 04 00 00 00 00 00 10 04
