SSREQCTL.
Cur Time : 4211.545000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	FILE	FUNCTION	LINE	STRING
11.252521	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 86f6dfd func_name smem_spin_lock_stm
11.252527	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash cdad222 func_name smp2p_qdi_driver
11.252530	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash cdad222 func_name smp2p_qdi_driver
11.252536	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash c1a18ab func_name utimer_task
11.252547	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash c1a18ab func_name utimer_task
11.252552	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 3c1aca9 func_name utimer_qdi
11.252554	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 3c1aca9 func_name utimer_qdi
11.252560	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 932c844 func_name utimer_client
11.252563	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 932c844 func_name utimer_client
11.252568	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 5134c77 func_name glink_diag
11.252571	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 5134c77 func_name glink_diag
11.252576	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash f231834 func_name ssm_parser_init
11.252594	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash f231834 func_name ssm_parser_init
11.252600	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 2b36184 func_name dog_hal_root
11.252642	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 2b36184 func_name dog_hal_root
11.252648	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash b5d67c9 func_name dog_qdi
11.252660	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash b5d67c9 func_name dog_qdi
11.252665	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash e7e6cd func_name perf_pre_stm
11.252666	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash e7e6cd func_name perf_pre_stm
11.252671	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 6f98882 func_name icbarb
11.253788	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 6f98882 func_name icbarb
11.253793	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 68b5cd5 func_name core_cpu
11.254296	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 68b5cd5 func_name core_cpu
11.254302	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 6b9d func_name dsm
11.254657	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 6b9d func_name dsm
11.254663	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 6794 func_name abt
11.254751	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 6794 func_name abt
11.254757	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash fb5cd24 func_name awake_until_init
11.254824	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash fb5cd24 func_name awake_until_init
11.254829	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 9a174dd func_name xport_smem
11.255027	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 9a174dd func_name xport_smem
11.255033	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 79ff func_name sio
11.256496	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 79ff func_name sio
11.256502	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 691cc52 func_name ipc_router
11.256602	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 691cc52 func_name ipc_router
