MCFG.
Cur Time : 4211.111000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	FILE	LINE	STRING
11.646755	mcfg_map.c	1222	mcfg_map_read_config_map: index 15 id_len 805306368
11.646755	mcfg_map.c	1278	mcfg_map_read_config_map: set pending id with len 0 sub 3
11.646758	mcfg_map.c	1220	mcfg_map_read_config_map: index 16 sig 4D634667
11.646759	mcfg_map.c	1222	mcfg_map_read_config_map: index 16 id_len 1073741824
11.646760	mcfg_map.c	1278	mcfg_map_read_config_map: set pending id with len 0 sub 4
11.646763	mcfg_map.c	1220	mcfg_map_read_config_map: index 17 sig 4D634667
11.646764	mcfg_map.c	1222	mcfg_map_read_config_map: index 17 id_len 0
11.646764	mcfg_map.c	1294	mcfg_map_read_config_map: check termination with len 0
11.646768	mcfg_map.c	1662	mcfg_map_update_record:update config weight 65535
11.647311	mcfg_utils.c	917	Config: ROW
11.647312	mcfg_utils.c	921	Config ROW
11.647319	mcfg_map.c	1729	mcfg_malloc, mcfg_heap_blocks 8
11.647404	mcfg_efs.c	1222	mcfg_efs_config_present_local: config present in local efs /nvm/mcfg/cfg_01/mcfg_swD756B68DBD707F3DF31285739CC42EB1/mbn
11.647405	mcfg_map.c	1746	mcfg_map_add_record_in_map
11.647407	mcfg_map.c	1683	mcfg_free, mcfg_heap_blocks 7
11.647409	mcfg_map.c	1662	mcfg_map_update_record:update config weight 65535
11.647585	mcfg_utils.c	917	Config: ROW
11.647586	mcfg_utils.c	921	Config ROW
11.647591	mcfg_map.c	1729	mcfg_malloc, mcfg_heap_blocks 8
11.647671	mcfg_efs.c	1222	mcfg_efs_config_present_local: config present in local efs /nvm/mcfg/cfg_01/mcfg_swD756B68DBD707F3DF31285739CC42EB1/mbn
11.647673	mcfg_map.c	1746	mcfg_map_add_record_in_map
11.647675	mcfg_map.c	1683	mcfg_free, mcfg_heap_blocks 7
11.647799	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.647829	mcfg_nv.c	601	mcfg_nv_read status 5
11.647831	mcfg_utils.c	2418	Default power down reason...Unsucessful to read the nv...mcfg_power_down_reason : 0x0
11.647854	mcfg_utils.c	2431	deleted MCFG_NV_ITEM_MCFG_POWER_DOWN_REASON: status 0
11.647855	mcfg_task.c	289	mcfg_power_down_reason is ...0x0
11.647892	mcfg_uim.c	1957	Starting MCFG_UIM initialization
11.647894	mcfg_uim.c	292	mcfg_uim_nv_autoselect_enabled for sloti 0
11.647934	mcfg_uim.c	303	autoselect_nv 0xde for slot 0
11.647936	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.647970	mcfg_nv.c	601	mcfg_nv_read status 0
11.647971	mcfg_uim.c	251	read_autoselect_nv sloti0 NV=0
11.648009	mcfg_uim.c	320	mcfg_uim_nv_autoselect_enabled NV=0
11.648010	mcfg_uim.c	292	mcfg_uim_nv_autoselect_enabled for sloti 1
11.648011	mcfg_uim.c	303	autoselect_nv 0xde for slot 1
11.648017	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.648042	mcfg_nv.c	601	mcfg_nv_read status 5
11.648043	mcfg_uim.c	251	read_autoselect_nv sloti1 NV=0
11.648044	mcfg_uim.c	320	mcfg_uim_nv_autoselect_enabled NV=0
11.648051	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.648074	mcfg_nv.c	601	mcfg_nv_read status 5
11.648079	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.648101	mcfg_nv.c	601	mcfg_nv_read status 5
11.648140	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.648167	mcfg_nv.c	601	mcfg_nv_read status 5
11.648168	mcfg_uim.c	292	mcfg_uim_nv_autoselect_enabled for sloti 0
11.648169	mcfg_uim.c	303	autoselect_nv 0x00 for slot 0
11.648170	mcfg_uim.c	320	mcfg_uim_nv_autoselect_enabled NV=0
11.648171	mcfg_uim.c	518	mcfg_uim_nv_imsiselect_enabled for sloti 0
11.648173	mcfg_uim.c	529	imsiselect_nv 0x00 for slot 0
11.648174	mcfg_uim.c	546	mcfg_uim_nv_imsiselect_enabled NV=0
11.648175	mcfg_uim.c	381	nv_flexmap_enabled 0 NV=0
11.648177	mcfg_uim.c	432	mcfg_refresh_enabled sloti 0
11.648183	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.648206	mcfg_nv.c	601	mcfg_nv_read status 5
11.648207	mcfg_uim.c	292	mcfg_uim_nv_autoselect_enabled for sloti 1
11.648208	mcfg_uim.c	303	autoselect_nv 0x00 for slot 1
11.648208	mcfg_uim.c	320	mcfg_uim_nv_autoselect_enabled NV=0
11.648209	mcfg_uim.c	518	mcfg_uim_nv_imsiselect_enabled for sloti 1
11.648210	mcfg_uim.c	529	imsiselect_nv 0x00 for slot 1
11.648211	mcfg_uim.c	546	mcfg_uim_nv_imsiselect_enabled NV=0
11.648212	mcfg_uim.c	381	nv_flexmap_enabled 0 NV=0
11.648213	mcfg_uim.c	432	mcfg_refresh_enabled sloti 1
11.648248	mcfg_setting.c	127	Unexpected condition!
11.648249	mcfg_diag.c	290	====  Registering MCFG Diag cmds ==== 
11.648396	mcfg_uim.c	292	mcfg_uim_nv_autoselect_enabled for sloti 0
11.648397	mcfg_uim.c	303	autoselect_nv 0x00 for slot 0
11.648398	mcfg_uim.c	320	mcfg_uim_nv_autoselect_enabled NV=0
11.648425	mcfg_utils.c	2578	[DEBUG] mcfg_utils_mcfg_list [0 0]
11.648428	mcfg_map.c	942	mcfg_print: loaded config list
